"","x"
"347",0.91429343136309
"348",0.9169142792228
"349",0.908609934004059
"350",0.911841247511885
"351",0.918535436445918
"352",0.917420390973539
"353",0.911855072927988
"354",0.913122991883068
"355",0.911938046764087
"356",0.916195528187527
"357",0.912667312748695
"358",0.906178368684033
"359",0.916732883710995
"360",0.910242053934173
"361",0.911245494548212
"362",0.906490516079781
"363",0.911133090510425
"364",0.908629734468628
"365",0.913454758401005
"366",0.914387375922193
"367",0.914387375922193
"368",0.91405912205934
"369",0.921035708987727
"370",0.919850694451925
"371",0.920519862703912
"372",0.914247217074965
"373",0.914434361529296
"374",0.914879265078218
"375",0.907837812253172
"376",0.912174866045903
"377",0.91362770008411
"378",0.90816916750098
"379",0.910689546787048
"380",0.917901172973289
"381",0.916723481482136
"382",0.911010504728492
"383",0.914156704174774
"384",0.913552019696055
"385",0.913451518868903
"386",0.911244397218664
"387",0.914971494772256
"388",0.913239011462095
"389",0.909615329534022
"390",0.911041700255978
"391",0.916136039613817
"392",0.908461548623685
"393",0.909334343254875
"394",0.905434641810619
"395",0.91611628155349
"396",0.915522662439911
"397",0.913852984795126
"398",0.913535982760372
"399",0.913535982760372
"400",0.917862487905017
"401",0.909733985030614
"402",0.912935886359727
"403",0.914983157422262
"404",0.917830923360618
"405",0.909370639880829
"406",0.909708578035668
"407",0.914272196866547
"408",0.910931043330682
"409",0.913817983236854
"410",0.911292941977671
"411",0.911747793666689
"412",0.914985635249455
"413",0.91221962405166
"414",0.914392814306006
"415",0.909320879969335
"416",0.912022052464578
"417",0.916295122628044
"418",0.909746848989384
"419",0.911745707550694
"420",0.921069663949069
"421",0.916411996858266
"422",0.917187064434835
"423",0.916053008159725
"424",0.91473757976756
"425",0.911448027617094
"426",0.914011593514219
"427",0.90974830444655
"428",0.914145078360049
"429",0.908482443051271
"430",0.91906241681542
"431",0.916768278597363
"432",0.912438376998096
"433",0.915990353163657
"434",0.921140145182663
"435",0.907730512660991
"436",0.907762343785403
"437",0.907400919263184
"438",0.909820420632862
"439",0.908888826812391
"440",0.908368171792513
"441",0.9062951863357
"442",0.909155731672127
"443",0.916515262364986
"444",0.919307741374007
"445",0.9128069426474
"446",0.913506759761726
"447",0.906667784891407
"448",0.913012358373438
"449",0.913072436505238
"450",0.91381422594878
"451",0.917116514216717
"452",0.916174879077421
"453",0.915455064384034
"454",0.91399983757708
"455",0.918026253749531
"456",0.917606117481744
"457",0.914967829858603
"458",0.912263133647341
"459",0.914183934455812
"460",0.917168441509324
"461",0.91475362516037
"462",0.914824482465512
"463",0.913917987551704
"464",0.912422483532744
"465",0.915571061113916
"466",0.916106833265175
"467",0.909121920416606
"468",0.914476543806308
"469",0.917719304538244
"470",0.917331376510183
"471",0.91558987317195
"472",0.916075637540317
"473",0.916075637540317
"474",0.920212116174383
"475",0.913342097665694
"476",0.913239677286332
"477",0.913371532593604
"478",0.91006765443468
"479",0.912350024389426
"480",0.91164964535268
"481",0.912364351842848
"482",0.912413868606362
"483",0.905733973866875
"484",0.905844782811793
"485",0.912930732414749
"486",0.910441991198188
"487",0.915188813381129
"488",0.912759001717026
"489",0.913219748381884
"490",0.915109038585143
"491",0.912072295937318
"492",0.910702111774428
"493",0.912247401198023
"494",0.908807867297833
"495",0.907325529559731
"496",0.907646839884646
"497",0.911837476525445
"498",0.907566002732317
"499",0.911057627169224
"500",0.911408698600841
"501",0.908741122672174
"502",0.910646991064173
"503",0.913470979687393
"504",0.914429295692384
"505",0.902862604838459
"506",0.908290209463906
"507",0.908290209463906
"508",0.903689958359232
"509",0.910630755457575
"510",0.910630755457575
"511",0.914306165089517
"512",0.915337753015921
"513",0.911150571044709
"514",0.912313417655017
"515",0.914699290454272
"516",0.917316065076627
"517",0.914011348515865
"518",0.914351330862429
"519",0.905552574048364
"520",0.910739231479221
"521",0.907788293931674
"522",0.913950171783416
"523",0.915986008725132
"524",0.910409200175236
"525",0.912725830150593
"526",0.910878955858587
"527",0.912268130880035
"528",0.911310110478425
"529",0.911310110478425
"530",0.911127349608136
"531",0.909715401417583
"532",0.915307152419414
"533",0.915307152419414
"534",0.919763043666148
"535",0.918745251313606
"536",0.918280523361242
"537",0.91494802815833
"538",0.91592885818897
"539",0.912857419515675
"540",0.919350962075109
"541",0.915378521676138
"542",0.914779502585541
"543",0.914779502585541
"544",0.918895090312324
"545",0.920050190428335
"546",0.916851911020979
"547",0.915809482572937
"548",0.911997305994943
"549",0.916192293313553
"550",0.910337977251158
"551",0.911706200569282
"552",0.911662619320062
"553",0.907644864176636
"554",0.916777695985644
"555",0.913787288927014
"556",0.913787288927014
"557",0.916632752504676
"558",0.916606826306441
"559",0.912993093105999
"560",0.912944884022757
"561",0.909296262614053
"562",0.9116907082389
"563",0.910893079845855
"564",0.910893079845855
"565",0.909493102065447
"566",0.910194450991447
"567",0.904883808966509
"568",0.915468237855572
"569",0.906987044114998
"570",0.909272162806796
"571",0.915910679496656
"572",0.916003694304026
"573",0.915621574729238
"574",0.912235852161553
"575",0.907390826371611
"576",0.916939471179782
"577",0.914974383533149
"578",0.907073450153191
"579",0.906518966089273
"580",0.90919966872042
"581",0.90919966872042
"582",0.910226701737715
"583",0.914454354855551
"584",0.911030038710386
"585",0.911326854698142
"586",0.917400160707336
"587",0.919257889931823
"588",0.91506598555114
"589",0.916633951113509
"590",0.912889593473818
